MATRICULA,IDADE,ESTADO_CIVIL_ALUNOS,RAZAO_INATIVIDADE,TIPO_ENSINO_MEDIO,ANO_FORMATURA_ENSINO_MEDIO,NOTA,ESTATUS,TERMO,GENERO_MASCULINO,NACIONALIDADE_BRASILEIRA_POR_NATURALIZACAO,NACIONALIDADE_ESTRANGEIRA,TIPO_ADMISSAO_DECISAO_JUDICIAL_ADM,TIPO_ADMISSAO_GRADUADO,TIPO_ADMISSAO_REOPCAO,TIPO_ADMISSAO_SISU,TIPO_ADMISSAO_TRANSFERENCIA,TIPO_ADMISSAO_VESTIBULAR,POLITICA_AFIRMATIVA_BONUS,POLITICA_AFIRMATIVA_L1,POLITICA_AFIRMATIVA_L10,POLITICA_AFIRMATIVA_L13,POLITICA_AFIRMATIVA_L14,POLITICA_AFIRMATIVA_L2,POLITICA_AFIRMATIVA_L5,POLITICA_AFIRMATIVA_L6,POLITICA_AFIRMATIVA_L9
107210005,35,3,7,0,2011.0,5.5,0,2009.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118111071,34,3,2,4,2008.0,6.7,0,2021.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
117210343,26,3,0,4,2016.0,2.5,5,2018.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
116211007,33,3,5,3,2008.0,8.8,0,2016.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114110454,28,3,7,3,2013.0,8.2,0,2014.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107110033,40,3,7,0,2011.0,2.7,5,2008.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107210008,36,3,0,0,2011.0,-1.0,6,2010.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119110224,28,3,0,3,2013.0,-1.0,1,2019.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116210757,31,3,0,3,2011.0,8.7,0,2017.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113110026,29,3,0,4,2012.0,5.1,0,2013.2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
111250010,40,3,0,0,2011.0,8.8,0,2011.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118210232,37,3,5,4,2007.0,7.2,0,2019.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
119110012,24,3,2,3,2018.0,7.0,0,2019.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117110780,26,3,5,4,2016.0,7.8,0,2020.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115111888,39,0,0,4,2005.0,8.7,0,2015.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114111069,29,3,0,3,2012.0,5.1,0,2015.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102210030,40,3,0,0,2011.0,2.5,5,2002.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116211305,29,3,5,4,2015.0,3.9,5,2021.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
119210741,23,3,0,4,2018.0,7.3,0,2019.2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
110110112,33,3,7,0,2011.0,7.5,0,2011.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119210045,23,3,2,3,2018.0,8.9,0,2023.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114110486,31,1,7,3,2010.0,8.6,0,2016.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113110904,31,3,5,3,2010.0,5.0,0,2013.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114210818,34,3,5,4,2008.0,7.9,0,2018.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
117210424,35,3,2,4,2008.0,7.0,0,2019.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
123210947,22,1,4,0,2011.0,7.3,2,2018.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
109210299,35,3,7,0,2011.0,1.9,5,2010.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103110019,39,3,7,0,2011.0,6.7,0,2007.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110110079,37,3,5,0,2011.0,5.0,0,2011.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112210672,30,3,5,4,2011.0,7.0,0,2012.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110210092,32,3,7,4,2009.0,4.4,5,2011.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119110519,26,0,2,4,2016.0,9.7,0,2019.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
109110806,38,3,5,0,2011.0,1.5,5,2010.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115110820,29,3,5,4,2014.0,-1.0,6,2017.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
111110926,31,3,7,0,2011.0,10.0,0,2012.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117110922,26,3,0,4,2015.0,0.9,5,2017.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
102210018,40,3,7,0,2011.0,6.6,0,2007.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106110120,37,3,0,0,2011.0,7.0,0,2008.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117210293,28,3,0,4,2014.0,8.3,0,2017.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
112110912,30,3,7,3,2011.0,7.0,0,2012.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120110295,28,3,2,3,2012.0,8.2,0,2022.2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119210656,24,3,2,3,2018.0,7.3,0,2019.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116211079,28,3,0,4,2014.0,0.7,5,2018.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112210434,31,3,5,4,2010.0,7.0,0,2012.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
